month,new_users,returning_users,impressions,clicks,ctr,avg_position,avg_session_duration,direct_sessions,organic_search_sessions,organic_social_sessions,referral_sessions,unassigned_sessions,mobile_impressions,desktop_impressions,tablet_impressions
2025-10,618,75,6627,238,3.59,9.01,2m 09s,327,172,107,17,0,3153,3416,58
2025-11,758,99,6127,229,3.74,7.78,2m 13s,495,264,194,21,0,2895,3165,67
2025-12,641,103,5291,253,4.80,13,1m 54s,514,306,35,11,4,2636,2582,73
2026-01,697,104,6373,253,3.97,9,2m 47s,504,326,107,17,6,3089,3212,72
2026-02,509,69,7432,292,3.83,8.7,2m 32s,288,350,78,9,4,3749,3592,91
2026-03,595,139,11015,374,3.40,6.75,2m 11s,353,419,35,21,2,6080,4803,132
2026-04,348,50,7143,256,3.58,8.08,30s,222,281,4,22,3,3674,3397,72
2026-05,429,162,6228,253,4.06,8.10,38s,330,317,31,25,4,3128,3025,75
2026-06,417,108,5531,136,2.46,10.75,1m 53s,400,153,20,7,11,2333,3149,49
2026-07,356,90,4207,145,3.45,9.91,2m 34s,314,192,8,3,11,2035,2135,37
2026-08,412,50,3908,134,3.43,10.47,1m 21s,345,132,13,1,10,2175,1700,33
