month,page_title,views,sessions,engagement_rate,avg_engagement_duration,clicks,impressions,ctr,position
2025-10,Αρχική,432,55,12.73,,,,,
2025-10,Ημερίδα Μουσεία του Μέλλοντος & Πνευματική Ιδιοκτησία,59,17,28.81,,,,,
2025-10,Καλωσορίζουμε τη Νέα Ακαδημαϊκή Χρονιά,11,9,81.82,,,,,
2025-10,Αγγελίες Εργασίας,121,8,6.61,,,,,
2025-10,Αμειβόμενες Θέσεις Πρακτικής (Ευρ. Οργανισμός Άμυνας),83,7,8.43,,,,,
2025-11,Αρχική,319,256,69.14,1m 53s,,,,
2025-11,Κλείσε Ραντεβού,188,154,60.39,1m 29s,,,,
2025-11,Σχετικά με εμάς,69,53,94.34,1m 44s,,,,
2025-11,Επαγγελματική Συμβουλευτική,68,52,82.69,45s,,,,
2025-11,Αγγελίες Εργασίας,50,42,88.10,38s,,,,
2025-12,Αρχική,376,107,28.46,,,,,
2025-12,Αγορά Εργασίας – Επαγγέλματα με Ζήτηση,648,17,2.62,,,,,
2025-12,Εργαστήριο Μελέτης Φύλου & Ανισοτήτων,13,10,76.92,,,,,
2025-12,Φοιτητική Προσφορά Google,39,7,17.95,,,,,
2025-12,Ημέρες Καριέρας 2025,37,6,16.22,,,,,
2026-01,Αρχική,392,90,22.96,,,,,
2026-01,Αξιολόγηση Απόδοσης Εργαζομένων,622,8,1.29,,,,,
2026-01,Αγγελίες Εργασίας,149,8,5.37,,,,,
2026-01,Φοιτητική Προσφορά Google,42,8,19.05,,,,,
2026-01,Start-up Story,18,8,44.44,,,,,
2026-02,Αρχική,458,74,16.16,,,,,
2026-02,Θέσεις Εργασίας ΕΕ (Διαγωνισμός AD5),693,28,4.04,,,,,
2026-02,Ατομική Συμβουλευτική,102,11,10.78,,,,,
2026-02,Αγορά Εργασίας – Επαγγέλματα με Ζήτηση,722,9,1.25,,,,,
2026-02,Συμβουλές Προφορικής Παρουσίασης,182,7,3.85,,,,,
2026-03,Αρχική,640,67,10.47,,,,,
2026-03,Αξιολόγηση Απόδοσης Εργαζομένων,618,17,2.75,,,,,
2026-03,Ημέρες Καριέρας 2025,131,16,12.21,,,,,
2026-03,Ημέρα Καριέρας 2026,149,15,10.07,,,,,
2026-03,Θέσεις Εργασίας ΕΕ (Διαγωνισμός AD5),597,12,2.01,,,,,
2026-04,Αρχική,,,,,58,647,8.96,6.49
2026-04,Θέση Εργασίας: Θεατρολόγος (Παλλήνη),,,,,19,102,18.63,7.04
2026-04,Αγορά Εργασίας – Επαγγέλματα με Ζήτηση,,,,,10,538,1.86,6.50
2026-04,Δελτίο Τύπου – 6ο Συνέδριο ΠΕΔιΣ,,,,,10,25,40.00,2.88
2026-04,Προσλήψεις στην ΕΕ (EPSO – Διοικητικοί Υπάλληλοι),,,,,8,199,4.02,6.51
2026-05,Αρχική,,,,,82,809,10.14,6.98
2026-05,Προσλήψεις στην ΕΕ (EPSO – Διοικητικοί Υπάλληλοι),,,,,18,332,5.42,6.47
2026-05,Ατομική Συμβουλευτική,,,,,11,136,8.09,5.04
2026-05,Ημέρες Καριέρας,,,,,10,79,12.66,5.94
2026-05,Αγορά Εργασίας – Επαγγέλματα με Ζήτηση,,,,,8,453,1.77,8.24
2026-06,Αρχική,,,,,29,710,4.08,7.85
2026-06,Αγγελίες Εργασίας,,,,,16,182,8.79,6.47
2026-06,Υποτροφίες Πρωτοετών με Καταγωγή από την Κρήτη,,,,,8,48,16.67,6.92
2026-06,Προσλήψεις στην ΕΕ (EPSO – Διοικητικοί Υπάλληλοι),,,,,6,133,4.51,7.19
2026-06,Ατομική Συμβουλευτική,,,,,6,114,5.26,8.46
2026-07,Αρχική,,,,,37,528,7.01,7.17
2026-07,Αγγελίες Εργασίας,,,,,21,285,7.37,6.71
2026-07,Ατομική Συμβουλευτική,,,,,6,113,5.31,6.11
2026-07,Υποτροφίες Πρωτοετών με Καταγωγή από την Κρήτη,,,,,6,57,10.53,5.67
2026-07,Προσλήψεις στην ΕΕ (EPSO – Διοικητικοί Υπάλληλοι),,,,,4,130,3.08,6.71
2026-08,Αγγελίες Εργασίας,,,,,27,323,8.36,7.49
2026-08,Αρχική,,,,,17,512,3.32,7.26
2026-08,Μιχοπούλου Βασιλική – Σύμβουλος Σταδιοδρομίας,,,,,6,133,4.51,3.77
2026-08,Θέση Εργασίας (Αγγελία 23413),,,,,6,48,12.50,6.50
2026-08,Αγορά Εργασίας – Επαγγέλματα με Ζήτηση,,,,,5,178,2.81,6.37
